cellName,startTime,endTime,percentage
C29266038287828230,0,0,0
C29266038287828231,0,0,0
C29266038287828232,0,0,0
C29266038287828233,0,0,0
C29266038287828234,0,0,0
C29266038287828235,0,0,0
C29266038287828236,0,0,0
C29266038287828237,0,0,0
C2926603818594013860,0,0,0
C2926603818594013861,0,0,0
C2926603818594013862,0,0,0
C2926603818594013863,0,0,0
C2926603818594013864,0,0,0
C2926603818594013865,0,0,0
C2926603818594013866,0,0,0
C2926603818594013867,0,0,0
C2926603818594013868,0,0,0
C2926603818594013869,0,0,0
C29266038292660840,0,0,0
C29266038292660841,0,0,0
C29266038292660842,0,0,0
C29266038292660843,0,0,0
C29266038292660844,0,0,0
C29266038292660845,0,0,0
C29266038292660846,0,0,0
C29266038292660847,0,0,0
C29266038292660848,0,0,0
C29266038292660849,0,0,0
C292660382926608410,0,0,0
C292660382926608411,0,0,0
C292660382926608412,0,0,0
C292660382926608413,0,0,0
C292660382926608414,0,0,0
C292660382926608415,0,0,0
C292660412493609330,0,0,0
C292660412493609331,0,0,0
C292660412493609332,0,0,0
C292660412493609333,0,0,0
C292660412493609334,0,0,0
C292660412493609335,0,0,0
C29266041281859440,0,0,0
C29266041281859441,0,0,0
C29266041281859442,0,0,0
C29266041281859443,0,0,0
C29266041281859444,0,0,0
C29266041281859445,0,0,0
C2926604120392096320,0,0,0
C2926604120392096321,0,0,0
C2926604120392096322,0,0,0
C2926604120392096323,0,0,0
C29266084287828200,0,0,0
C29266084287828201,0,0,0
C29266084287828202,0,0,0
C29266084287828203,0,0,0
C29266084287828204,0,0,0
C29266084287828205,0,0,0
C2926608418352034930,0,0,0
C2926608418352034931,0,0,0
C2926608418352034932,0,0,0
C2926608418352034933,0,0,0
C2878280918594013900,0,0,0
C2878280918594013901,0,0,0
C2878280918594013902,0,0,0
C2878280918594013903,0,0,0
C2878280918594013904,0,0,0
C2878280918594013905,0,0,0
C2878280918594013906,0,0,0
C2878280918594013907,0,0,0
C2878280918594013908,0,0,0
C2878280918594013909,0,0,0
C28782809287828180,0,0,0
C28782809287828181,0,0,0
C28782809287828182,0,0,0
C28782809287828183,0,0,0
C28782809287828184,0,0,0
C28782809287828185,0,0,0
C28782809287828186,0,0,0
C28782809287828187,0,0,0
C28782809287828188,0,0,0
C28782809287828189,0,0,0
C287828092878281810,0,0,0
C287828092878281811,0,0,0
C287828092878281812,0,0,0
C287828092878281813,0,0,0
C2878281818352034930,0,0,0
C2878281818352034931,0,0,0
C2878281818352034932,0,0,0
C2878281818352034933,0,0,0
C2878281818352034934,0,0,0
C2878281818352034935,0,0,0
C28782818287828200,0,0,0
C28782818287828201,0,0,0
C28782818287828202,0,0,0
C28782818287828203,0,0,0
C28782818287828204,0,0,0
C28782818287828205,0,0,0
C28782818287828206,0,0,0
C28782818287828207,0,0,0
C28782820287828230,0,0,0
